MPI size	Nx	Ny	Nz	dx	dy	dz	tsteps	operation time
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		101		0:00:04.866005
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		101		0:00:05.157591
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		101		0:00:05.113518
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		101		0:00:05.021296
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		101		0:00:04.923791
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:01:54.051251
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:01:53.612086
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:01:53.492019
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:01:55.192602
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:01:48.887784
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:01:53.489861
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:01:54.580271
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:01:54.150372
2		240		40		40		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:01:55.027740
2		240		80		80		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:05:17.144072
2		240		80		80		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:05:07.257461
2		240		120		120		3.0000000000000004e-08		3.0000000000000004e-08		3.0000000000000004e-08		3001		0:10:46.604005
