frequency, decay constant, Q, amplitude, phase, error
6.82169e+13, 2.272345e+12, 94.3121, 3.63317e-13, 0.926178, 5.925705e-06
1.9539e+14, 1.747963e+13, 35.1171, 2.26713e-09, -1.52283, 2.436269e-07
2.02828e+14, 9.847454e+12, 64.7073, 1.27772e-09, 1.30627, 2.484295e-07
2.08441e+14, 4.419030e+12, 148.186, 1.02624e-09, -1.58154, 5.478860e-07
2.11583e+14, 3.937331e+11, 1688.22, 3.18167e-10, 1.47915, 1.244371e-06
2.61453e+14, -3.135999e+12, -261.92, 8.6091e-14, -1.29936, 2.072512e-04
2.90645e+14, 2.682894e+13, 34.0338, 4.6231e-10, 0.459031, 9.156650e-05
3.01207e+14, 2.283097e+13, 41.4467, 1.8048e-09, -2.97146, 1.263783e-05
3.09283e+14, 9.169941e+12, 105.959, 6.19236e-10, 0.290208, 3.491713e-06
3.13835e+14, 1.296585e+12, 760.415, 2.68591e-10, -2.87899, 2.612420e-06
3.94873e+14, 6.022996e+12, 205.966, 2.3841e-14, -0.24163, 1.276204e-04
4.18939e+14, -3.243689e+13, -40.5753, 1.78338e-13, 2.43771, 5.910603e-04
4.46029e+14, 2.709397e+13, 51.7178, 5.09819e-13, 1.99784, 2.333704e-04
5.05393e+14, 4.712275e+12, 336.937, 2.89812e-14, 1.15937, 2.308052e-04
5.06897e+14, 4.065771e+13, 39.1676, 2.40948e-12, 2.90176, 3.519770e-04
