frequency, decay constant, Q, amplitude, phase, error
-2.05238e+14, -8.400779e+12, -76.7519, 6.93144e-08, -2.68847, 9.299230e-05
1.95306e+14, 1.700249e+13, 36.0871, 1.81642e-06, -1.58095, 9.020939e-05
2.02756e+14, 9.622075e+12, 66.1995, 1.49976e-06, -1.81784, 5.441190e-05
2.08379e+14, 4.135552e+12, 158.296, 1.9089e-06, -1.57521, 2.382928e-05
2.11584e+14, 4.361383e+11, 1524.08, 1.91512e-06, -1.58372, 7.967319e-06
3.01181e+14, 2.162091e+13, 43.7626, 1.69724e-06, -0.269764, 1.313069e-05
3.09271e+14, 9.414154e+12, 103.207, 1.30337e-06, -0.149653, 2.158957e-05
3.13813e+14, 1.130069e+12, 872.401, 1.54989e-06, -0.18313, 5.787715e-06
