frequency, decay constant, Q, amplitude, phase, error
-2.7672e+14, 6.127333e+12, 141.879, 1.10568e-08, -0.0632183, 4.154301e-04
1.95329e+14, 1.754012e+13, 34.9852, 2.12828e-06, -2.2707, 4.046680e-05
2.02832e+14, 9.916839e+12, 64.2558, 1.54179e-06, -1.48354, 1.071919e-05
2.08421e+14, 4.323649e+12, 151.44, 2.06417e-06, -1.98692, 7.712098e-06
2.11567e+14, 5.320635e+11, 1249.21, 1.95037e-06, -1.68806, 7.084276e-06
3.02439e+14, 2.176502e+13, 43.6545, 1.46718e-06, 2.34961, 8.527898e-04
3.09571e+14, 1.001813e+13, 97.0787, 1.55694e-06, 0.0582266, 1.488832e-04
3.13836e+14, 1.378682e+12, 715.136, 1.60668e-06, 0.255484, 1.900191e-05
