frequency, decay constant, Q, amplitude, phase, error
-3.10819e+14, 9.020825e+12, 108.246, 5.2402e-10, -1.54583, 5.253152e-04
1.94474e+14, 1.877419e+13, 32.5424, 3.0794e-09, -1.78912, 1.316545e-04
2.03566e+14, 7.942260e+12, 80.5213, 8.80006e-10, -1.71116, 1.651849e-04
2.08727e+14, 6.788129e+12, 96.6005, 1.89785e-09, 0.132553, 8.756219e-05
2.12125e+14, -1.836132e+12, -362.943, 1.52759e-10, -2.17523, 9.895550e-05
3.01233e+14, 2.124795e+13, 44.5385, 1.28091e-09, 1.47435, 1.547321e-06
3.0925e+14, 9.335381e+12, 104.071, 6.94537e-10, -2.76594, 4.855116e-07
3.1382e+14, 1.236344e+12, 797.428, 2.59211e-10, 0.973817, 6.809936e-08
3.81905e+14, 3.885051e+13, 30.8822, 9.08377e-12, 1.76995, 6.160502e-05
4.19626e+14, 7.450115e+12, 176.95, 1.7146e-13, -0.908931, 1.033707e-05
4.2368e+14, -1.544981e+13, -86.1518, 3.53955e-16, 2.2711, 2.859285e-05
