frequency, decay constant, Q, amplitude, phase, error
1.95403e+14, 1.748262e+13, 35.1136, 2.32947e-09, -1.87963, 2.789051e-07
2.02811e+14, 9.896864e+12, 64.3788, 1.23984e-09, 1.89228, 2.963014e-07
2.08447e+14, 4.259383e+12, 153.744, 1.01704e-09, -1.66314, 2.159414e-07
2.11574e+14, 4.071791e+11, 1632.4, 3.1706e-10, 1.73464, 1.199162e-07
2.77836e+14, -1.467737e+13, -59.4688, 8.67183e-15, 2.87109, 6.855663e-04
3.01181e+14, 2.177770e+13, 43.4475, 1.3197e-09, -2.67513, 3.206912e-07
3.09281e+14, 9.469311e+12, 102.609, 6.87436e-10, -0.377443, 3.314411e-06
3.13826e+14, 1.212223e+12, 813.31, 2.57571e-10, -3.01794, 2.607369e-06
3.53744e+14, -8.391410e+12, -132.436, 5.43515e-15, -2.07377, 4.030036e-04
4.37297e+14, -3.103083e+13, -44.2724, 1.04588e-13, -3.00495, 6.926602e-04
