Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:46:47.535253		  FDTD		12.044			00.746
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:50:51.382843		  FDTD		12.042			00.746
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:51:00.871190		  FDTD		12.042			00.747
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:51:43.472872		  FDTD		12.042			00.745
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:48:25.640229		  FDTD		12.046			00.747
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:52:20.951049		  FDTD		12.041			00.745
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:52:11.102727		  FDTD		12.041			00.745
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:52:06.047881		  FDTD		12.044			00.748
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:48:56.558283		  FDTD		12.045			00.746
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:51:08.442496		  FDTD		12.041			00.746
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:51:53.901047		  FDTD		12.042			00.746
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		4:52:31.814486		  FDTD		12.041			00.745
