Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0256	0256	None	2.24e-09	2.24e-09	    None	001001		0:00:09.421828		  FDTD		06.618			00.323
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:28.453192		  FDTD		06.633			00.337
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:30.449703		  FDTD		06.634			00.338
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:32.954396		  FDTD		06.664			00.337
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:31.047335		  FDTD		06.633			00.338
 1		0256	0256	None	2.24e-09	2.24e-09	    None	003001		0:00:25.742375		  FDTD		06.622			00.326
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:23.869403		  FDTD		06.622			00.327
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:26.127912		  FDTD		06.623			00.328
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:19.154191		  FDTD		06.623			00.328
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:13.286068		  FDTD		06.625			00.329
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:02:41.520181		  FDTD		06.629			00.334
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	003001		0:00:28.214819		  FDTD		06.707			00.317
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	003001		0:00:33.739147		  FDTD		06.707			00.318
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	003001		0:00:33.189236		  FDTD		06.723			00.334
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	003501		0:00:37.924869		  FDTD		06.722			00.333
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	010001		0:01:42.570808		  FDTD		06.724			00.334
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	020001		0:03:34.511936		  FDTD		06.728			00.339
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	020001		0:03:34.921055		  FDTD		06.726			00.337
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	005001		0:01:00.405826		  FDTD		06.721			00.332
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	010001		0:01:56.317540		  FDTD		06.726			00.337
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:05.334358		  FDTD		06.717			00.263
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	004001		0:00:43.922552		  FDTD		06.722			00.333
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	004001		0:00:43.182108		  FDTD		06.721			00.332
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	004001		0:00:43.138557		  FDTD		06.722			00.332
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	004001		0:00:44.725192		  FDTD		06.724			00.335
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	004001		0:00:45.506991		  FDTD		06.723			00.334
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	004001		0:00:41.570503		  FDTD		06.722			00.333
