Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	010001		0:07:00.266475		  FDTD		07.989			00.411
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	004001		0:02:36.770365		  FDTD		07.984			00.406
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	004001		0:02:40.614707		  FDTD		07.982			00.405
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	004001		0:02:39.416508		  FDTD		07.982			00.404
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	015001		0:05:27.458838		  FDTD		07.844			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:18.596728		  FDTD		07.877			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:20.374979		  FDTD		07.875			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:20.587022		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:19.967854		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:19.368590		  FDTD		07.877			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:20.109769		  FDTD		07.875			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:22.332805		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:23.933963		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:18.184648		  FDTD		07.877			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:19.861717		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:20.716280		  FDTD		07.875			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:24.500413		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:18.800405		  FDTD		07.877			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:19.784048		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:23.880984		  FDTD		07.874			00.263
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:26.634443		  FDTD		07.875			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:18.666263		  FDTD		07.877			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:20.185214		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:19.360044		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:22.563620		  FDTD		07.875			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:18.606302		  FDTD		07.877			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:20.747914		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:19.500311		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:20.898946		  FDTD		07.875			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:18.473951		  FDTD		07.877			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:20.493365		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:21.940856		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:25.601905		  FDTD		07.875			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:18.236315		  FDTD		07.877			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:20.863228		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:22.529279		  FDTD		07.874			00.264
 1		0256	0128	0128	8.97e-09	4.48e-09	4.48e-09	150001		0:54:21.006201		  FDTD		07.875			00.264
