Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:04:59.257439		  FDTD		06.659			00.264
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:44.910329		  FDTD		06.614			00.319
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:39.477811		  FDTD		06.611			00.315
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:49.016438		  FDTD		06.612			00.316
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:44.587538		  FDTD		06.613			00.317
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:38.103642		  FDTD		06.613			00.317
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:01:44.544393		 SPSTD		06.819			00.492
 1		0256	0256	None	2.24e-09	2.24e-09	    None	010001		0:02:14.095222		 SPSTD		06.819			00.492
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:51.023810		 SPSTD		06.822			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:46.122783		 SPSTD		06.825			00.430
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:45.976414		 SPSTD		06.823			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:45.788297		 SPSTD		06.822			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:46.085883		 SPSTD		06.825			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:50.303731		 SPSTD		06.823			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:47.363828		 SPSTD		06.822			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:44.730349		 SPSTD		06.825			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:48.658572		 SPSTD		06.823			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:45.258062		 SPSTD		06.822			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:53.252375		 SPSTD		06.825			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:53.699894		 SPSTD		06.823			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:47.952939		 SPSTD		06.822			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:41.038236		 SPSTD		06.825			00.430
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:55.386988		 SPSTD		06.823			00.430
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:45.997550		 SPSTD		06.822			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:39.105759		 SPSTD		06.825			00.430
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:46.497391		 SPSTD		06.823			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:54.271765		 SPSTD		06.822			00.429
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:49.225900		 SPSTD		06.825			00.430
 1		0256	0256	None	2.24e-09	2.24e-09	    None	200001		0:10:53.594874		 SPSTD		06.823			00.429
