Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:45.704233		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.213800		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.125755		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:48.562380		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:44.802989		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.028263		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:45.874606		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:49.288234		  SHPF		07.573			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:44.099944		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.586841		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.223325		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:48.179970		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:43.883740		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.927943		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.425195		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.474642		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:43.922791		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.005273		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.353201		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.999811		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:44.205811		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.416341		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.153671		  SHPF		07.573			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:48.774665		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:44.243576		  SHPF		07.576			00.431
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.376771		  SHPF		07.573			00.431
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:45.901082		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.771810		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:44.358147		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.502045		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.156081		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.100781		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:43.731577		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.620124		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.100300		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:49.661676		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:44.960721		  SHPF		07.576			00.431
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.299969		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.947241		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:51.077241		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:44.130600		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:45.811451		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.664213		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.923687		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:45.473174		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.212067		  SHPF		07.572			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.625435		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:48.861964		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:43.833470		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.407386		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.080461		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:48.026048		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:45.533624		  SHPF		07.575			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.060962		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.346911		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:49.975106		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:44.120373		  SHPF		07.575			00.429
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:46.901071		  SHPF		07.572			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:47.179720		  SHPF		07.573			00.430
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:38:48.068530		  SHPF		07.572			00.430
