Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:26.370306		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:26.644713		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:25.233535		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:27.298758		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:19.477967		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:20.797132		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:24.821745		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:24.659131		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:21.894565		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.372234		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:20.757078		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:24.392665		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:24.841687		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.909598		  FDTD		07.218			00.263
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:23.390430		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:19.500616		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:19.241107		  FDTD		07.221			00.265
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:20.213098		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:26.436332		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:30.571628		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:23.503797		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:25.135319		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:24.358308		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.605364		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:21.488094		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:25.994479		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:21.426778		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.535692		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:18.883218		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:23.226125		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:25.755461		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:28.213444		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:21.294134		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:21.682290		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:26.994873		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:28.231480		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:27.236206		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.273603		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:17.218875		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.673175		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:20.087889		  FDTD		07.221			00.263
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:27.969938		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:26.530062		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:26.414884		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:21.757475		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:23.167100		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:25.289070		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.751015		  FDTD		07.218			00.263
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:23.060604		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:32.148506		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:26.325384		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:20.265105		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:21.701802		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.273500		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:26.795175		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:21.438000		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:29.493775		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:25.196268		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:24.058499		  FDTD		07.219			00.263
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.219892		  FDTD		07.218			00.263
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:28.206557		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:29.397654		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:20.169807		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:29.854352		  FDTD		07.219			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:21.192098		  FDTD		07.221			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.268818		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:24.210974		  FDTD		07.218			00.264
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	130001		0:25:22.442309		  FDTD		07.219			00.264
