Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:28.791342		  FDTD		06.721			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:21.552862		  FDTD		06.719			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:19.531820		  FDTD		06.718			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:14.142448		  FDTD		06.718			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:14.740475		  FDTD		06.721			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:19.946258		  FDTD		06.719			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:26.391200		  FDTD		06.718			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:16.887948		  FDTD		06.718			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:26.423212		  FDTD		06.721			00.263
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:25.121882		  FDTD		06.719			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:28.386652		  FDTD		06.718			00.263
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:20.052106		  FDTD		06.718			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:22.192794		  FDTD		06.719			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:39.946379		  FDTD		06.721			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:18.107592		  FDTD		06.718			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:15.274850		  FDTD		06.718			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:23.156945		  FDTD		06.719			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:18.434878		  FDTD		06.721			00.264
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:21.760096		  FDTD		06.718			00.263
 1		0004	0256	0256	2.24e-09	2.24e-09	2.24e-09	200001		0:10:29.277797		  FDTD		06.718			00.264
