Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0128	0064	0064	8.06e-09	8.13e-09	8.13e-09	010001		0:01:31.696434		  FDTD		07.596			00.340
 1		0128	0064	0064	8.06e-09	8.13e-09	8.13e-09	010001		0:01:23.400390		  FDTD		07.598			00.341
 1		0128	0064	0064	8.06e-09	8.13e-09	8.13e-09	500001		0:55:05.676294		  FDTD		07.596			00.340
 1		0128	0064	0064	1.61e-08	8.13e-09	8.13e-09	010001		0:01:23.805261		  FDTD		07.594			00.339
 1		0256	0064	0064	4.02e-09	8.13e-09	8.13e-09	500001		1:24:44.286878		  FDTD		08.201			00.382
 1		0128	0064	0064	1.61e-08	8.13e-09	8.13e-09	200001		0:22:09.904690		  FDTD		07.612			00.357
 1		0128	0064	0064	1.61e-08	8.13e-09	8.13e-09	500001		0:55:17.818769		  FDTD		07.603			00.349
 1		0256	0064	0064	1.20e-08	8.13e-09	8.13e-09	300001		0:50:57.462367		  FDTD		08.199			00.382
 1		0256	0064	0064	8.03e-09	8.13e-09	8.13e-09	500001		1:24:57.865208		  FDTD		08.199			00.382
 1		0128	0064	0064	2.42e-08	8.13e-09	8.13e-09	700001		1:17:02.022740		  FDTD		07.627			00.339
 1		0256	0064	0064	1.20e-08	8.13e-09	8.13e-09	700001		1:58:46.453670		  FDTD		08.199			00.382
 1		0256	0064	0064	1.20e-08	8.13e-09	8.13e-09	700001		1:58:47.064699		  FDTD		08.195			00.377
 1		0256	0064	0064	9.04e-09	8.13e-09	8.13e-09	500001		1:20:38.497023		  FDTD		07.952			00.386
 1		0256	0064	0064	1.20e-08	8.13e-09	8.13e-09	500001		1:20:39.860601		  FDTD		07.949			00.382
 1		0256	0064	0064	1.20e-08	8.13e-09	8.13e-09	1000001		2:40:54.294400		  FDTD		07.971			00.371
 1		0256	0064	0064	1.20e-08	8.13e-09	8.13e-09	1000001		2:37:57.127795		  FDTD		09.410			00.448
 1		0256	0064	0064	1.20e-08	8.13e-09	8.13e-09	500001		2:20:55.962827		  SHPF		08.228			00.567
 1		0256	0064	0064	1.20e-08	8.13e-09	8.13e-09	700001		3:17:14.871840		  SHPF		08.233			00.572
