Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0128	0128	0128	4.72e-09	4.72e-09	4.72e-09	100001		0:50:23.598748		  FDTD		08.826			00.290
 1		0128	0032	0032	4.72e-09	1.94e-08	1.94e-08	100001		0:16:02.283066		  FDTD		06.836			00.333
 1		0128	0032	0032	4.72e-09	1.94e-08	1.94e-08	050001		0:08:11.183665		  FDTD		06.837			00.331
 1		0128	0016	0016	4.72e-09	4.00e-08	4.00e-08	100001		0:15:56.401640		  FDTD		06.721			00.341
 1		0128	0064	0064	4.72e-09	9.52e-09	9.52e-09	010001		0:01:46.666886		  FDTD		07.063			00.340
 1		0200	0064	0064	3.02e-09	9.52e-09	9.52e-09	015001		0:03:17.962777		  FDTD		07.367			00.362
 1		0200	0064	0064	2.51e-09	7.94e-09	7.94e-09	015001		0:03:16.210403		  FDTD		07.366			00.361
 1		0128	0064	0064	3.94e-09	7.94e-09	7.94e-09	015001		0:02:39.349103		  FDTD		07.096			00.341
 1		0128	0064	0064	3.94e-09	7.94e-09	7.94e-09	015001		0:02:39.049558		  FDTD		07.159			00.341
 1		0128	0128	0128	3.94e-09	3.94e-09	3.94e-09	100001		0:49:35.176289		  FDTD		08.746			00.459
