Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0200	0032	0032	3.02e-09	6.45e-09	6.45e-09	005001		0:00:46.761323		  FDTD		08.382			00.389
 1		0200	0032	0032	6.03e-09	6.45e-09	6.45e-09	005001		0:00:51.254544		  FDTD		08.398			00.378
 1		0200	0032	0032	6.03e-09	6.45e-09	6.45e-09	005001		0:01:03.424382		  FDTD		08.335			00.377
 1		0200	0032	0032	6.03e-09	6.45e-09	6.45e-09	005001		0:00:47.057849		  FDTD		08.398			00.377
 1		0200	0032	0032	6.03e-09	6.45e-09	6.45e-09	005001		0:00:45.000518		  FDTD		08.397			00.376
 1		0200	0032	0032	6.03e-09	6.45e-09	6.45e-09	005001		0:00:45.907652		  FDTD		08.397			00.376
 1		0200	0032	0032	6.03e-09	6.45e-09	6.45e-09	005001		0:00:45.551495		  FDTD		08.398			00.377
 1		0200	0032	0032	6.03e-09	6.45e-09	6.45e-09	005001		0:00:45.293826		  FDTD		08.398			00.377
 1		0200	0032	0032	6.03e-09	6.45e-09	6.45e-09	003001		0:00:28.811479		  FDTD		08.398			00.377
 1		0200	0128	0128	6.03e-09	4.03e-09	4.03e-09	004001		0:01:55.690297		  FDTD		12.721			00.603
 1		0200	0128	0128	6.03e-09	4.03e-09	4.03e-09	004001		0:01:59.506788		  FDTD		12.683			00.569
 1		0200	0128	0128	6.03e-09	4.03e-09	4.03e-09	006001		0:04:14.197807		  FDTD		12.666			00.551
 1		0200	0128	0128	6.03e-09	4.03e-09	4.03e-09	006001		0:04:14.090800		  FDTD		12.622			00.508
 1		0200	0128	0128	6.03e-09	4.03e-09	4.03e-09	020001		0:09:30.566399		  FDTD		12.631			00.516
