Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:58.686540		  SHPF		12.982			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:47.842663		  SHPF		12.980			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:50.993354		  SHPF		12.978			00.429
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:46.711593		  SHPF		12.978			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:58.109969		  SHPF		12.982			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:48.243588		  SHPF		12.980			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:51.976973		  SHPF		12.978			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:47.041907		  SHPF		12.978			00.429
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:48.219347		  SHPF		12.980			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:57.193832		  SHPF		12.982			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:50.594135		  SHPF		12.978			00.429
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:47.223074		  SHPF		12.978			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:45.835403		  SHPF		12.980			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:58.035874		  SHPF		12.982			00.429
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:47.806714		  SHPF		12.978			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:51.543591		  SHPF		12.978			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:46.875977		  SHPF		12.980			00.431
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:58.504871		  SHPF		12.982			00.430
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:47.474735		  SHPF		12.978			00.429
 1		0256	0256	0256	2.24e-09	2.24e-09	2.24e-09	150001		5:37:49.327821		  SHPF		12.978			00.429
