Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	200001		4:43:36.415391		  FDTD		11.563			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	200001		4:43:39.836613		  FDTD		11.565			00.263
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	200001		4:43:35.880318		  FDTD		11.562			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	200001		4:43:40.285323		  FDTD		11.562			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	200001		4:43:37.214258		  FDTD		11.563			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	200001		4:43:41.679332		  FDTD		11.565			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	200001		4:43:36.093554		  FDTD		11.562			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	200001		4:43:38.158952		  FDTD		11.562			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	003001		0:06:23.408045		  FDTD		11.939			00.703
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	003001		0:06:17.316182		  FDTD		11.940			00.704
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	100001		2:21:53.740828		  FDTD		11.530			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	150001		3:32:52.543250		  FDTD		11.562			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	200001		4:43:47.444038		  FDTD		11.563			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	100001		2:21:56.142529		  FDTD		11.534			00.263
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	100001		2:21:55.063005		  FDTD		11.531			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	100001		2:21:55.003445		  FDTD		11.530			00.264
 1		0256	0256	0256	2.35e-09	3.06e-09	3.06e-09	100001		2:21:55.138795		  FDTD		11.530			00.264
